created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-03-14T18:47:56-05:00,1,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:50:15-05:00,2,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:50:32-05:00,3,118.20000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48220,,,,
2024-03-14T18:50:49-05:00,4,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:51:05-05:00,5,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:51:22-05:00,6,118.20000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48220,,,,
2024-03-14T18:51:39-05:00,7,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:51:56-05:00,8,118.10000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48010,,,,
2024-03-14T18:52:13-05:00,9,118.10000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48010,,,,
2024-03-14T18:52:30-05:00,10,118.10000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48010,,,,
2024-03-14T18:52:47-05:00,11,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:53:03-05:00,12,118.20000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48220,,,,
2024-03-14T18:53:20-05:00,13,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T18:53:37-05:00,14,118.20000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48220,,,,
2024-03-14T18:53:54-05:00,15,118.20000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48220,,,,
2024-03-14T19:30:09-05:00,16,118.10000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48010,,,,
2024-03-14T19:30:26-05:00,17,118.20000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48220,,,,
2024-03-14T19:30:43-05:00,18,118.20000,0.02100,0.00000,0.01200,59.80000,0.00000,2.48220,,,,
2024-03-14T19:31:00-05:00,19,118.10000,0.02100,0.00000,0.01200,60.00000,0.00000,2.48010,,,,
2024-03-14T19:31:17-05:00,20,118.10000,0.02100,0.00000,0.01200,59.90000,0.00000,2.48010,,,,
2024-03-16T13:06:16-05:00,21,118.40000,0.02100,2.48640,0.01200,59.90000,0.00000,2.48640,,,,
2024-03-16T13:06:33-05:00,22,118.30000,0.02100,2.48430,0.01200,59.90000,0.00000,2.48430,,,,
2024-03-16T13:06:50-05:00,23,118.40000,0.02100,2.48640,0.01200,60.00000,0.00000,2.48640,,,,
